
B a
崖 -9.298454509496176D
崗 -8.4390719098939D
崙 -9.929726286338033D
崢 -10.104079673482811D
崩 -10.750706838407863D
崴 -11.539164198772134D
嵇 -13.148602111206234D
嵋 -13.148602111206234D
嵐 -9.970548280858289D
嵘 -12.455454930646289D
嵛 -12.455454930646289D
嵩 -8.87193599219018D
嶠 -11.35684264197818D
嶴 -13.148602111206234D
嶸 -12.455454930646289D
嶺 -8.296571847286618D
嶼 -11.35684264197818D
巍 -7.796743977730168D
巒 -11.539164198772134D
川 -7.535474004818164D
州 -6.902495345724672D
巡 -9.364412477287972D
巢 -8.989719027846563D
工 -9.682866208406507D
左 -9.105550843371685D
巧 -8.626813534157193D
巨 -8.17186836878566D
巩 -11.069160569526398D
巫 -10.204163132039794D
己 -11.069160569526398D
已 -10.583652753744698D
巳 -11.762307750086343D
巴 -6.397500642269474D
巷 -11.20269196215092D
巽 -10.152869837652243D
巾 -8.235947225470182D
币 -12.455454930646289D
市 -8.533481594364975D
布 -6.162960293567026D
帅 -8.659965741474094D
帆 -8.900106869156875D
师 -5.991645746590598D
希 -6.093289267866482D
帕 -7.531831013539663D
帙 -13.148602111206234D
帛 -9.652094549739754D
帜 -13.148602111206234D
帝 -6.714055592418782D
帥 -8.659965741474094D
带 -9.890505573184752D
帧 -13.148602111206234D
師 -5.991645746590598D
席 -10.663695461418234D
帮 -11.762307750086343D
帶 -9.890505573184752D
帷 -13.148602111206234D
常 -7.659664385049548D
帽 -10.951377533870016D
幀 -13.148602111206234D
幅 -13.148602111206234D
幕 -10.750706838407863D
幟 -13.148602111206234D
幡 -11.20269196215092D
幣 -12.455454930646289D
幫 -11.762307750086343D
干 -8.048735683382036D
平 -6.405721475414332D
年 -9.890505573184752D
并 -11.069160569526398D
幸 -9.341939621435914D
幹 -8.048735683382036D
幺 -9.005467384814702D
幻 -12.455454930646289D
幼 -8.659965741474094D
幽 -9.071064667300515D
幾 -7.870487451975717D
广 -6.638343770683085D
庄 -7.723652093724832D
庆 -6.315570378420034D
庇 -9.565083172750125D
序 -10.315388767150019D
庐 -10.509544781590975D
库 -8.158169524427498D
应 -7.087145192278218D
底 -12.455454930646289D
店 -13.148602111206234D
庙 -9.435030044501927D
庚 -7.96121630536548D
府 -7.485641631070289D
庞 -8.37791748674057D
废 -8.974214841310598D
庥 -12.455454930646289D
度 -8.914495606608975D
座 -11.069160569526398D
庫 -8.158169524427498D
庭 -8.012803674155972D
庵 -9.622241586590073D
庶 -12.455454930646289D
康 -7.132444951507881D
庸 -12.455454930646289D
庾 -11.762307750086343D
廈 -10.750706838407863D
廉 -8.694254814952727D
廖 -9.319960714717139D
廟 -9.435030044501927D
廠 -10.509544781590975D
廢 -8.974214841310598D
廣 -6.638343770683085D
廩 -12.455454930646289D
廪 -12.455454930646289D
廬 -10.509544781590975D
廳 -10.583652753744698D
延 -6.395164192608455D
廷 -6.296359542154356D
建 -5.452389471859827D
开 -6.011323673945848D
异 -8.533481594364975D
弃 -8.858142670057843D
弄 -10.315388767150019D
弈 -12.049989822538125D
弋 -9.298454509496176D
式 -7.313791374143629D
弓 -10.057559657847918D
引 -8.118164189813799D
弗 -7.389700337328954D
弘 -7.580257607445137D
弟 -9.256781813095607D
张 -7.557615130695377D
弥 -8.729761503409636D
弦 -9.74740472954408D
弱 -11.35684264197818D
張 -7.557615130695377D
強 -9.216776478481908D
强 -9.216776478481908D
弼 -9.852765245201905D
彌 -8.729761503409636D
归 -9.088159100659816D
当 -9.435030044501927D
录 -9.141268925973764D
彗 -13.148602111206234D
彝 -9.005467384814702D
形 -9.852765245201905D
彥 -7.127578761856708D
彦 -7.127578761856708D
彩 -7.989546811991706D
彪 -9.071064667300515D
彭 -9.459722657092298D
彰 -9.59325404971682D
影 -9.141268925973764D
役 -10.057559657847918D
彻 -9.53768419856201D
彼 -9.435030044501927D
往 -10.25823035331007D
征 -7.845297203147159D
径 -10.315388767150019D
待 -9.341939621435914D
很 -12.455454930646289D
律 -6.580524199794259D
後 -8.124721590359957D
徐 -8.15138983744212D
徑 -10.315388767150019D
徒 -7.8207259424166535D
徕 -11.35684264197818D
得 -6.432007337685256D
從 -7.546483290326534D
徠 -11.35684264197818D
御 -7.380281115412462D
循 -10.152869837652243D
微 -7.672138559274724D
徵 -7.845297203147159D
德 -4.509368293880972D
徹 -9.53768419856201D
徽 -8.17186836878566D
心 -6.4931617608385865D
必 -7.796743977730168D
忆 -9.485040465076588D
忍 -10.846017018212189D
忒 -9.929726286338033D
志 -5.794879780806603D
忙 -11.069160569526398D
忝 -13.148602111206234D
忠 -6.598951368972424D
忤 -12.455454930646289D
快 -11.069160569526398D
忱 -13.148602111206234D
念 -8.605307328936231D
忻 -11.20269196215092D
忽 -9.071064667300515D
怀 -7.307960453832836D
态 -11.762307750086343D
怎 -11.35684264197818D
怒 -10.25823035331007D
怖 -11.35684264197818D
怜 -11.069160569526398D
思 -5.502726286021421D
怡 -9.105550843371685D
性 -8.71778531236292D
总 -8.048735683382036D
恂 -12.049989822538125D
恆 -8.637742604689384D
恋 -10.951377533870016D
恍 -13.148602111206234D
恐 -10.583652753744698D
恒 -8.637742604689384D
恕 -10.750706838407863D
恢 -9.81639760103103D
恨 -11.35684264197818D
恩 -6.1939632463252465D
恭 -8.485163017094168D
息 -9.622241586590073D
恰 -9.781306281219761D
恶 -10.583652753744698D
恺 -9.485040465076588D
恻 -13.148602111206234D
恽 -12.455454930646289D
恿 -13.148602111206234D
悄 -12.049989822538125D
悅 -9.652094549739754D
悉 -10.057559657847918D
悌 -12.049989822538125D
悔 -11.762307750086343D
悟 -7.815883317940865D
悠 -11.35684264197818D
悦 -9.652094549739754D
悬 -11.539164198772134D
悯 -12.049989822538125D
悲 -9.485040465076588D
悼 -9.852765245201905D
情 -9.81639760103103D
惊 -10.25823035331007D
惑 -11.35684264197818D
惕 -11.762307750086343D
惜 -10.509544781590975D
惟 -8.779154258739213D
惠 -6.794232070408884D
惡 -10.583652753744698D
惧 -9.890505573184752D
惲 -12.455454930646289D
想 -10.315388767150019D
惹 -11.539164198772134D
惻 -13.148602111206234D
愁 -10.376013388966452D
愈 -9.929726286338033D
愍 -11.20269196215092D
意 -9.277401100298343D
愚 -10.846017018212189D
愛 -5.902234031103774D
愧 -12.455454930646289D
愫 -12.455454930646289D
愷 -9.485040465076588D
愿 -12.049989822538125D
慈 -8.671265296728027D
態 -11.762307750086343D
慎 -9.021467726161143D
慕 -8.533481594364975D
慢 -10.951377533870016D
慧 -6.938002034181581D
慨 -12.455454930646289D
慮 -10.509544781590975D
慰 -8.659965741474094D
慶 -6.315570378420034D
慷 -12.455454930646289D
憎 -13.148602111206234D
憐 -11.069160569526398D
憑 -11.069160569526398D
憨 -11.35684264197818D
憫 -12.049989822538125D
憲 -7.689016597062075D
憶 -9.485040465076588D
應 -7.087145192278218D
懋 -9.59325404971682D
懒 -12.455454930646289D
懦 -13.148602111206234D
懶 -12.455454930646289D
懷 -7.307960453832836D
懸 -11.539164198772134D
懼 -9.890505573184752D
懿 -8.25825298298448D
戀 -10.951377533870016D
戈 -7.639213774578257D
戊 -10.013107895277084D
戍 -12.455454930646289D
戎 -9.81639760103103D
成 -6.18446649878799D
我 -11.539164198772134D
戒 -11.762307750086343D
战 -8.900106869156875D
戚 -10.750706838407863D
戟 -12.049989822538125D
戡 -13.148602111206234D
戩 -11.762307750086343D
截 -12.455454930646289D
戬 -11.762307750086343D
戰 -8.900106869156875D
戳 -12.455454930646289D
戴 -9.682866208406507D
戶 -9.74740472954408D
户 -9.74740472954408D
房 -8.858142670057843D
所 -9.071064667300515D
扁 -10.663695461418234D
扇 -12.049989822538125D
扈 -13.148602111206234D
手 -10.376013388966452D
才 -7.865398382468246D
扎 -7.5173903293848685D
扑 -11.539164198772134D
打 -10.440551910104025D
托 -6.9958694165021305D
扣 -12.049989822538125D
执 -8.817868770919903D
扬 -8.671265296728027D
扰 -13.148602111206234D
扶 -9.970548280858289D
承 -5.425482018939903D
技 -10.663695461418234D
把 -11.35684264197818D
抑 -10.663695461418234D
投 -10.25823035331007D
抖 -12.455454930646289D
抗 -9.410932492922866D
折 -9.682866208406507D
抚 -6.902495345724672D
抢 -12.455454930646289D
护 -8.144655805260776D
报 -10.315388767150019D
披 -10.583652753744698D
抱 -10.057559657847918D
押 -9.59325404971682D
拂 -10.509544781590975D
拆 -12.455454930646289D
拉 -5.213014725617035D
拍 -12.455454930646289D
拐 -11.20269196215092D
拒 -11.539164198772134D
拓 -10.663695461418234D
拔 -7.792015836534222D
拖 -11.069160569526398D
拗 -12.455454930646289D
招 -9.970548280858289D
拜 -8.626813534157193D
拣 -12.455454930646289D
拥 -9.652094549739754D
拦 -10.583652753744698D
择 -9.929726286338033D
拯 -11.539164198772134D
拱 -9.216776478481908D
拴 -11.20269196215092D
拼 -13.148602111206234D
拾 -13.148602111206234D
拿 -9.714614906721089D
持 -9.105550843371685D
指 -9.74740472954408D
按 -9.59325404971682D
挑 -11.35684264197818D
挚 -11.762307750086343D
挞 -13.148602111206234D
挥 -10.376013388966452D
挪 -12.455454930646289D
振 -6.59324521939557D
挺 -9.364412477287972D
挽 -11.35684264197818D
捂 -13.148602111206234D
损 -11.069160569526398D
换 -9.781306281219761D
捧 -12.455454930646289D
据 -13.148602111206234D
捷 -8.006938554703575D
授 -10.25823035331007D
掌 -8.523629297921964D
掘 -10.315388767150019D
採 -8.192775053604974D
探 -9.682866208406507D
接 -9.682866208406507D
掩 -13.148602111206234D
措 -11.762307750086343D
掬 -12.455454930646289D
掰 -11.762307750086343D
揀 -12.455454930646289D
提 -7.714880107651995D
揖 -8.386428176408478D
揚 -8.671265296728027D
換 -9.781306281219761D
握 -13.148602111206234D
揮 -10.376013388966452D
援 -8.124721590359957D
揽 -13.148602111206234D
損 -11.069160569526398D
搏 -13.148602111206234D
搖 -7.157137564098252D
搜 -11.539164198772134D
搠 -13.148602111206234D
搶 -12.455454930646289D
携 -12.455454930646289D
搽 -13.148602111206234D
摇 -7.157137564098252D
摩 -6.107190447411424D
摯 -11.762307750086343D
摹 -11.762307750086343D
撄 -11.35684264197818D
撒 -9.929726286338033D
撫 -6.902495345724672D
撮 -12.455454930646289D
撲 -11.539164198772134D
撻 -13.148602111206234D
撼 -12.455454930646289D
擁 -9.652094549739754D
擇 -9.929726286338033D
擊 -9.74740472954408D
操 -11.762307750086343D
擎 -10.013107895277084D
擒 -10.013107895277084D
據 -13.148602111206234D
擾 -13.148602111206234D
攀 -9.485040465076588D
攔 -10.583652753744698D
攖 -11.35684264197818D
攘 -9.511015951479848D
攜 -12.455454930646289D
攬 -13.148602111206234D
支 -9.410932492922866D
收 -9.81639760103103D
改 -7.9781181161680825D
攻 -9.071064667300515D
放 -9.123250420471086D
政 -6.312342833929168D
故 -10.846017018212189D
效 -9.141268925973764D
敉 -13.148602111206234D
敏 -7.2736713803542035D
救 -10.152869837652243D
敖 -10.315388767150019D
敗 -10.25823035331007D
敘 -9.511015951479848D
教 -7.944595424129439D
敛 -10.750706838407863D
敞 -11.20269196215092D
敢 -10.376013388966452D
散 -9.021467726161143D
敦 -8.71778531236292D
敬 -6.397500642269474D
数 -10.013107895277084D
整 -10.750706838407863D
敷 -10.951377533870016D
數 -10.013107895277084D
斂 -10.750706838407863D
文 -4.638836435618794D
斋 -9.852765245201905D
斌 -9.277401100298343D
斐 -7.8603350805117D
斑 -11.762307750086343D
斓 -11.069160569526398D
斕 -11.069160569526398D
斗 -9.298454509496176D
斜 -10.25823035331007D
斟 -12.455454930646289D
斫 -12.455454930646289D
断 -12.455454930646289D
斯 -4.454602543684152D
新 -5.8866750185034835D
斷 -12.455454930646289D
方 -5.672129730042329D
於 -10.951377533870016D
施 -7.2405191730373035D
旅 -13.148602111206234D
旋 -9.890505573184752D
族 -9.929726286338033D
旗 -8.22862118537811D
无 -7.891106739178453D
既 -10.583652753744698D
日 -7.438175093831364D
旦 -9.298454509496176D
旧 -13.148602111206234D
旨 -9.511015951479848D
早 -9.81639760103103D
旬 -12.049989822538125D
旭 -7.461626754866415D
旮 -13.148602111206234D
旱 -12.049989822538125D
时 -6.326404720585744D
旷 -10.509544781590975D
旺 -8.741882863941981D
昀 -11.069160569526398D
昂 -8.943909491815269D
昆 -8.235947225470182D
昊 -9.565083172750125D
昌 -7.006564705618878D
明 -5.167210529626165D
昏 -11.20269196215092D
易 -7.989546811991706D
昔 -8.914495606608975D
昕 -11.35684264197818D
星 -7.448158537815548D
映 -9.890505573184752D
春 -6.159266845231675D
昨 -11.35684264197818D
昭 -6.820665327477039D
是 -9.682866208406507D
昱 -10.152869837652243D
昶 -11.539164198772134D
显 -7.520980997515597D
晁 -10.951377533870016D
時 -6.326404720585744D
晃 -9.216776478481908D
晉 -7.714880107651995D
晋 -7.714880107651995D
晏 -10.013107895277084D
晒 -12.049989822538125D
晓 -5.506557708332977D
晔 -10.663695461418234D
晖 -9.565083172750125D
晗 -11.539164198772134D
晚 -10.25823035331007D
晟 -10.204163132039794D
晤 -11.35684264197818D
晨 -8.71778531236292D
普 -6.500913737642905D
景 -6.702882291820656D
晴 -8.958947369179809D
晶 -8.791893284516643D
智 -7.162150105921796D
晾 -11.762307750086343D
暂 -12.455454930646289D
暉 -9.565083172750125D
暑 -10.583652753744698D
暖 -7.3834110084213895D
暗 -9.123250420471086D
暢 -11.762307750086343D
暨 -13.148602111206234D
暫 -12.455454930646289D
暮 -10.25823035331007D
暴 -10.846017018212189D
曄 -10.663695461418234D
曉 -5.506557708332977D
曙 -7.21901296781634D
曜 -9.890505573184752D
曠 -10.509544781590975D
曦 -9.890505573184752D
曬 -12.049989822538125D
曰 -9.652094549739754D
曲 -9.277401100298343D
更 -8.17186836878566D
書 -6.780414924855742D
曹 -8.594725219605694D
曼 -7.431574409800013D
曾 -8.779154258739213D
替 -10.951377533870016D
最 -11.35684264197818D
會 -7.815883317940865D
月 -7.235099105567964D
有 -5.872737510659702D
朋 -9.714614906721089D
服 -9.319960714717139D
朔 -10.204163132039794D
朕 -10.663695461418234D
朗 -7.0482831591861705D
望 -8.137966817109978D
朝 -6.03139660804189D
期 -10.440551910104025D
朦 -12.455454930646289D
木 -6.397500642269474D
未 -8.729761503409636D
末 -7.7733237035220695D
本 -6.851492791272299D
札 -9.277401100298343D
术 -8.553482261071645D
朱 -8.164995489497898D
朴 -9.364412477287972D
朵 -10.013107895277084D
机 -10.013107895277084D
杀 -10.376013388966452D
杂 -13.148602111206234D
权 -7.764107048417145D
杆 -10.152869837652243D
杉 -10.663695461418234D
李 -6.840503669696703D
杏 -8.831113997669924D
材 -10.376013388966452D
村 -8.616002618052978D
杓 -12.049989822538125D
杖 -10.204163132039794D
杜 -7.825592132067826D
束 -10.750706838407863D
杠 -12.049989822538125D
条 -9.682866208406507D
来 -7.142248951604501D
杨 -7.939115958364813D
杪 -13.148602111206234D
杭 -9.852765245201905D
杰 -6.978991378714778D
東 -5.951915540371885D
杲 -9.53768419856201D
杳 -12.455454930646289D
杵 -13.148602111206234D
杼 -12.049989822538125D
松 -7.0824940211024865D
板 -9.53768419856201D
极 -10.315388767150019D
构 -10.315388767150019D
枋 -10.846017018212189D
析 -10.663695461418234D
枕 -10.583652753744698D
林 -5.802591901292942D
枚 -11.539164198772134D
果 -8.513873122976598D
枝 -8.705950854715917D
枣 -11.35684264197818D
枧 -13.148602111206234D
枫 -9.59325404971682D
枸 -12.455454930646289D
柄 -10.057559657847918D
柏 -7.057292229128536D
某 -8.729761503409636D
柑 -13.148602111206234D
染 -12.049989822538125D
柔 -9.216776478481908D
柘 -10.750706838407863D
柚 -10.013107895277084D
柝 -13.148602111206234D
查 -8.553482261071645D
柬 -10.663695461418234D
柯 -8.754152956533796D
柱 -8.042656637305654D
柳 -7.972452378632405D
柴 -11.762307750086343D
柵 -11.762307750086343D
柿 -10.376013388966452D
栀 -12.049989822538125D
栅 -11.762307750086343D
标 -9.53768419856201D
栉 -13.148602111206234D
栋 -9.216776478481908D
栎 -10.152869837652243D
栏 -11.20269196215092D
树 -6.502211596358505D
栓 -12.049989822538125D
栖 -8.817868770919903D
栗 -9.652094549739754D
校 -8.001107634392781D
株 -11.35684264197818D
样 -9.511015951479848D
核 -10.376013388966452D
根 -7.719256482251794D
格 -5.362465673423162D
栽 -12.049989822538125D
栾 -11.762307750086343D
桀 -11.35684264197818D
桂 -6.835054064929139D
桃 -9.341939621435914D
桅 -13.148602111206234D
桌 -10.315388767150019D
桐 -9.485040465076588D
桑 -8.273404788005083D
桓 -7.719256482251794D
桔 -13.148602111206234D
桢 -11.762307750086343D
桤 -12.455454930646289D
桥 -8.844537018002065D
桦 -10.750706838407863D
桧 -9.652094549739754D
桨 -12.049989822538125D
桿 -10.152869837652243D
梁 -8.111649508792604D
梅 -7.355588502822091D
梆 -11.539164198772134D
梔 -12.049989822538125D
梗 -10.750706838407863D
梘 -13.148602111206234D
條 -9.682866208406507D
梢 -8.817868770919903D
梦 -6.958286705353087D
梨 -9.15961806464196D
梭 -10.663695461418234D
梯 -9.511015951479848D
梳 -11.762307750086343D
检 -10.663695461418234D
棂 -11.069160569526398D
棄 -8.858142670057843D
棉 -10.846017018212189D
棋 -10.25823035331007D
棒 -10.509544781590975D
棕 -10.509544781590975D
棗 -11.35684264197818D
棘 -11.20269196215092D
棚 -11.069160569526398D
棟 -9.216776478481908D
森 -7.055032341161099D
棱 -9.781306281219761D
棲 -8.817868770919903D
棵 -11.20269196215092D
棺 -9.435030044501927D
椁 -10.509544781590975D
椅 -12.049989822538125D
椋 -12.455454930646289D
植 -9.59325404971682D
椒 -10.440551910104025D
椰 -13.148602111206234D
椽 -12.049989822538125D
椿 -9.81639760103103D
楊 -7.939115958364813D
楓 -9.59325404971682D
楗 -11.35684264197818D
楚 -6.983184256974814D
楠 -10.315388767150019D
楣 -13.148602111206234D
楦 -13.148602111206234D
楨 -11.762307750086343D
楫 -13.148602111206234D
業 -8.504211212064861D
極 -10.315388767150019D
楷 -11.069160569526398D
楸 -11.762307750086343D
楹 -10.951377533870016D
楼 -8.648792440875969D
榄 -11.35684264197818D
榆 -9.511015951479848D
榇 -13.148602111206234D
榕 -11.35684264197818D
榜 -12.049989822538125D
榭 -11.762307750086343D
榮 -6.910277486166726D
榿 -12.455454930646289D
槊 -12.049989822538125D
構 -10.315388767150019D
槐 -10.663695461418234D
槓 -12.049989822538125D
槨 -10.509544781590975D
槳 -12.049989822538125D
槽 -10.25823035331007D
槿 -10.951377533870016D
樂 -7.584081703883541D
樊 -11.35684264197818D
樓 -8.648792440875969D
樗 -12.455454930646289D
標 -9.53768419856201D
模 -9.410932492922866D
樣 -9.511015951479848D
横 -9.141268925973764D
樱 -11.35684264197818D
樸 -9.364412477287972D
樹 -6.502211596358505D
樺 -10.750706838407863D
樽 -11.539164198772134D
樾 -12.455454930646289D
橋 -8.844537018002065D
橙 -12.049989822538125D
機 -10.013107895277084D
橫 -9.141268925973764D
橹 -11.762307750086343D
檀 -8.648792440875969D
檜 -9.652094549739754D
檢 -10.663695461418234D
櫓 -11.762307750086343D
櫛 -13.148602111206234D
櫟 -10.152869837652243D
櫬 -13.148602111206234D
櫺 -11.069160569526398D
櫻 -11.35684264197818D
欄 -11.20269196215092D
權 -7.764107048417145D
欒 -11.762307750086343D
欖 -11.35684264197818D
欠 -12.049989822538125D
次 -8.989719027846563D
欢 -8.831113997669924D
欣 -8.185757480946327D
欧 -9.74740472954408D
欲 -9.459722657092298D
欽 -7.475278844034742D
歆 -9.781306281219761D
歇 -8.485163017094168D
歌 -9.410932492922866D
歐 -9.74740472954408D
歡 -8.831113997669924D
止 -10.152869837652243D
正 -5.9437096010015615D
此 -12.455454930646289D
步 -8.105176994286987D
武 -6.272337499315468D
歧 -9.81639760103103D
歪 -12.049989822538125D
歲 -12.455454930646289D
歷 -9.714614906721089D
歸 -9.088159100659816D
死 -10.509544781590975D
殇 -12.049989822538125D
殊 -10.204163132039794D
残 -10.663695461418234D
殘 -10.663695461418234D
殤 -12.049989822538125D
段 -13.148602111206234D
殷 -10.104079673482811D
殺 -10.376013388966452D
殿 -8.312320204254757D
毅 -7.768704757665775D
毋 -11.539164198772134D
母 -7.599526026311015D
每 -13.148602111206234D
毓 -8.958947369179809D
比 -6.9122325210025295D
毕 -8.68269399255165D
毛 -8.098746103956698D
毫 -12.049989822538125D
氅 -13.148602111206234D
氏 -6.535217892826675D
民 -7.62314917207445D
气 -7.9282462861279095D
氢 -10.951377533870016D
氣 -7.9282462861279095D
氧 -12.049989822538125D
氫 -10.951377533870016D
氲 -11.069160569526398D
氳 -11.069160569526398D
水 -6.376666555366632D
永 -5.428140416606513D
氹 -11.20269196215092D
汁 -10.25823035331007D
求 -9.256781813095607D
汇 -8.694254814952727D
汉 -6.535217892826675D
汕 -12.455454930646289D
汗 -9.622241586590073D
汛 -10.750706838407863D
汜 -9.565083172750125D
汝 -5.965490409462953D
江 -6.118629199499848D
池 -9.59325404971682D
汤 -8.791893284516643D
汪 -10.204163132039794D
汲 -11.35684264197818D
汴 -8.626813534157193D
汶 -10.104079673482811D
決 -10.846017018212189D
汾 -12.455454930646289D
沁 -9.781306281219761D
沂 -10.951377533870016D
沃 -7.989546811991706D
沅 -10.846017018212189D
沈 -9.81639760103103D
沉 -10.951377533870016D
沐 -11.20269196215092D
沒 -10.750706838407863D
沙 -7.719256482251794D
沛 -9.387401995512672D
沟 -9.298454509496176D
没 -10.750706838407863D
沣 -11.539164198772134D
沤 -13.148602111206234D
沥 -11.762307750086343D
沧 -13.148602111206234D
沪 -9.511015951479848D
沫 -8.13132227439131D
河 -7.328519180853872D
沸 -10.440551910104025D
油 -9.970548280858289D
治 -7.224346313791703D
沼 -11.069160569526398D
沽 -12.455454930646289D
沾 -10.663695461418234D
沿 -9.123250420471086D
況 -12.049989822538125D
泄 -10.750706838407863D
泉 -8.369478618094705D
泊 -9.216776478481908D
泓 -10.057559657847918D
法 -7.211065906123808D
泗 -10.104079673482811D
泛 -9.319960714717139D
泠 -12.455454930646289D
泡 -10.750706838407863D
波 -6.86820627224604D
泥 -9.890505573184752D
注 -10.104079673482811D
泮 -13.148602111206234D
泯 -11.762307750086343D
泰 -6.935996015454716D
泱 -13.148602111206234D
泳 -10.663695461418234D
泺 -12.455454930646289D
泼 -9.970548280858289D
泽 -5.553214832352262D
洁 -9.071064667300515D
洄 -11.35684264197818D
洇 -13.148602111206234D
洋 -9.071064667300515D
洌 -12.455454930646289D
洒 -12.049989822538125D
洗 -11.35684264197818D
洙 -12.455454930646289D
洛 -6.109818569817693D
洞 -8.448121745413818D
津 -7.561353452805985D
洧 -13.148602111206234D
洩 -10.750706838407863D
洪 -6.581929681402993D
洲 -9.622241586590073D
洳 -12.455454930646289D
洵 -11.762307750086343D
活 -10.315388767150019D
洼 -10.663695461418234D
洽 -10.509544781590975D
派 -9.59325404971682D
流 -8.352811565609493D
浃 -13.148602111206234D
浅 -10.057559657847918D
浈 -13.148602111206234D
浊 -10.583652753744698D
测 -11.762307750086343D
济 -6.785574007665769D
浑 -10.315388767150019D
浒 -11.35684264197818D
浓 -10.663695461418234D
浔 -12.049989822538125D
浙 -9.565083172750125D
浚 -9.622241586590073D
浠 -12.049989822538125D
浣 -13.148602111206234D
浦 -8.741882863941981D
浩 -8.312320204254757D
浪 -9.105550843371685D
浮 -10.315388767150019D
浯 -12.455454930646289D
浴 -10.846017018212189D
海 -5.620270344498987D
浸 -11.20269196215092D
浹 -13.148602111206234D
涂 -10.951377533870016D
涅 -7.850284744658198D
消 -10.057559657847918D
涉 -10.509544781590975D
涌 -10.750706838407863D
涓 -12.455454930646289D
涔 -10.509544781590975D
涛 -10.057559657847918D
涝 -12.455454930646289D
涞 -11.20269196215092D
涤 -10.376013388966452D
润 -7.039354528441869D
涧 -10.013107895277084D
涨 -10.583652753744698D
涩 -12.049989822538125D
涫 -12.455454930646289D
涯 -13.148602111206234D
涵 -9.387401995512672D
涼 -8.17186836878566D
淇 -11.069160569526398D
淋 -11.35684264197818D
淌 -12.049989822538125D
淖 -11.20269196215092D
淘 -9.970548280858289D
淞 -8.584253919738398D
淡 -9.622241586590073D
淤 -10.663695461418234D
淥 -12.049989822538125D
淦 -10.25823035331007D
淨 -10.25823035331007D
淮 -8.637742604689384D
深 -8.403669982842985D
淳 -9.459722657092298D
淵 -7.5956425262846174D
淶 -11.20269196215092D
混 -10.750706838407863D
淺 -10.057559657847918D
添 -10.104079673482811D
清 -6.033832662839771D
渊 -7.5956425262846174D
渌 -12.049989822538125D
渐 -9.74740472954408D
渔 -10.315388767150019D
渚 -10.440551910104025D
渝 -11.539164198772134D
渠 -9.74740472954408D
渡 -8.39501192009987D
渣 -11.762307750086343D
温 -7.539130316021275D
測 -11.762307750086343D
港 -10.013107895277084D
渲 -12.455454930646289D
渴 -12.455454930646289D
游 -9.890505573184752D
渺 -13.148602111206234D
渾 -10.315388767150019D
湃 -13.148602111206234D
湍 -12.455454930646289D
湖 -8.235947225470182D
湘 -7.232400048598799D
湛 -10.315388767150019D
湞 -13.148602111206234D
湟 -13.148602111206234D
湧 -10.750706838407863D
湫 -11.539164198772134D
湮 -13.148602111206234D
湯 -8.791893284516643D
湾 -9.341939621435914D
溅 -13.148602111206234D
溆 -12.455454930646289D
源 -7.337461118229534D
準 -10.663695461418234D
溜 -10.663695461418234D
溝 -9.298454509496176D
溟 -13.148602111206234D
溢 -9.890505573184752D
溥 -9.511015951479848D
溪 -7.719256482251794D
溫 -7.539130316021275D
溯 -10.583652753744698D
溶 -10.440551910104025D
滄 -13.148602111206234D
滇 -10.376013388966452D
滋 -10.152869837652243D
滌 -10.376013388966452D
滎 -10.013107895277084D
滑 -12.049989822538125D
滓 -13.148602111206234D
滔 -10.663695461418234D
滕 -9.59325404971682D
滚 -11.069160569526398D
满 -6.997999342759955D
滢 -13.148602111206234D
滦 -11.069160569526398D
滨 -9.088159100659816D
滩 -10.152869837652243D
滬 -9.511015951479848D
滴 -13.148602111206234D
滸 -11.35684264197818D
滾 -11.069160569526398D
滿 -6.997999342759955D
漁 -10.315388767150019D
漂 -11.762307750086343D
演 -8.296571847286618D
漚 -13.148602111206234D
漢 -6.535217892826675D
漪 -9.652094549739754D
漫 -8.729761503409636D
漱 -9.459722657092298D
漲 -10.583652753744698D
漳 -12.455454930646289D
漸 -9.74740472954408D
漾 -11.762307750086343D
潁 -9.59325404971682D
潆 -13.148602111206234D
潇 -9.622241586590073D
潑 -9.970548280858289D
潔 -9.071064667300515D
潘 -9.277401100298343D
潛 -9.256781813095607D
潜 -9.256781813095607D
潞 -9.929726286338033D
潢 -12.455454930646289D
潤 -7.039354528441869D
潭 -9.485040465076588D
潮 -9.319960714717139D
潯 -12.049989822538125D
潸 -13.148602111206234D
潼 -12.455454930646289D
澀 -12.049989822538125D
澄 -9.197358392624807D
澇 -12.455454930646289D
澈 -11.762307750086343D
澌 -13.148602111206234D
澍 -9.485040465076588D
澎 -11.069160569526398D
澗 -10.013107895277084D
澤 -5.553214832352262D
澧 -13.148602111206234D
澳 -9.714614906721089D
激 -10.750706838407863D
濁 -10.583652753744698D
濂 -11.35684264197818D
濃 -10.663695461418234D
濒 -11.539164198772134D
濟 -6.785574007665769D
濠 -11.069160569526398D
濡 -11.35684264197818D
濤 -10.057559657847918D
濮 -12.049989822538125D
濯 -12.455454930646289D
濱 -9.088159100659816D
濺 -13.148602111206234D
濼 -12.455454930646289D
瀅 -13.148602111206234D
瀑 -13.148602111206234D
瀕 -11.539164198772134D
瀚 -10.509544781590975D
瀛 -8.741882863941981D
瀝 -11.762307750086343D
瀟 -9.622241586590073D
瀠 -13.148602111206234D
灃 -11.539164198772134D
灌 -8.900106869156875D
灏 -12.455454930646289D
灑 -12.049989822538125D
灘 -10.152869837652243D
